date,cases,deaths
21-Jan-20,1,0
22-Jan-20,1,0
23-Jan-20,1,0
24-Jan-20,2,0
25-Jan-20,3,0
26-Jan-20,5,0
27-Jan-20,5,0
28-Jan-20,5,0
29-Jan-20,5,0
30-Jan-20,6,0
31-Jan-20,7,0
02-Jan-20,8,0
02-Feb-20,11,0
02-Mar-20,11,0
02-Apr-20,11,0
02-May-20,12,0
02-Jun-20,12,0
02-Jul-20,12,0
02-Aug-20,12,0
02-Sep-20,12,0
02-Oct-20,13,0
02-Nov-20,13,0
02-Dec-20,14,0
13-Feb-20,15,0
14-Feb-20,15,0
15-Feb-20,15,0
16-Feb-20,15,0
17-Feb-20,25,0
18-Feb-20,25,0
19-Feb-20,25,0
20-Feb-20,27,0
21-Feb-20,30,0
22-Feb-20,30,0
23-Feb-20,30,0
24-Feb-20,43,0
25-Feb-20,45,0
26-Feb-20,60,0
27-Feb-20,60,0
28-Feb-20,65,0
29-Feb-20,70,1
03-Jan-20,88,3
03-Feb-20,104,6
03-Mar-20,125,10
03-Apr-20,161,12
03-May-20,228,12
03-Jun-20,311,15
03-Jul-20,428,19
03-Aug-20,547,22
03-Sep-20,748,26
03-Oct-20,1018,31
03-Nov-20,1263,37
03-Dec-20,1668,43
13-Mar-20,2224,50
14-Mar-20,2898,60
15-Mar-20,3600,68
16-Mar-20,4507,91
17-Mar-20,5906,117
18-Mar-20,8350,162
19-Mar-20,12393,212
20-Mar-20,18012,277
21-Mar-20,24528,360
22-Mar-20,33073,458
23-Mar-20,43505,579
24-Mar-20,53938,785
25-Mar-20,68572,1054
26-Mar-20,85570,1353
27-Mar-20,102900,1770
28-Mar-20,123966,2300
29-Mar-20,142486,2718
30-Mar-20,163955,3368
31-Mar-20,188461,4304
04-Jan-20,215391,5325
04-Feb-20,245108,6541
04-Mar-20,277426,7932
04-Apr-20,312525,9488
04-May-20,338141,10856
04-Jun-20,369057,12382
04-Jul-20,399394,14616
04-Aug-20,431214,16701
04-Sep-20,465913,18821
04-Oct-20,499386,21084
04-Nov-20,531106,23168
04-Dec-20,558249,24849
13-Apr-20,584018,26613
14-Apr-20,610709,29318
15-Apr-20,640742,32070
16-Apr-20,672355,34419
17-Apr-20,703864,36708
18-Apr-20,732262,38659
19-Apr-20,757596,40179
20-Apr-20,784991,42016
21-Apr-20,810505,44688
22-Apr-20,839336,47059
23-Apr-20,873112,49228
24-Apr-20,909853,51360
25-Apr-20,944261,53327
26-Apr-20,970996,54580
27-Apr-20,994193,56022
28-Apr-20,1018844,58416
29-Apr-20,1045399,60930
30-Apr-20,1075756,63140
05-Jan-20,1109726,64902
05-Feb-20,1139200,66485
05-Mar-20,1165340,67816
05-Apr-20,1187302,68905
05-May-20,1211011,71139
05-Jun-20,1235517,73847
05-Jul-20,1263995,75805
05-Aug-20,1291643,77380
05-Sep-20,1316511,78834
05-Oct-20,1336828,79766
05-Nov-20,1354449,80748
05-Dec-20,1376749,82400
13-May-20,1397894,84168
14-May-20,1424856,85906
15-May-20,1451093,87499
16-May-20,1474752,88724
17-May-20,1493766,89568
18-May-20,1515593,90414
19-May-20,1536570,91934
20-May-20,1559640,93411
21-May-20,1585373,94722
22-May-20,1609172,96010
23-May-20,1631440,97060
24-May-20,1651471,97680
25-May-20,1670571,98190
26-May-20,1689467,98937
27-May-20,1708211,100422
28-May-20,1730723,101622
29-May-20,1755271,102812
30-May-20,1778668,103775
31-May-20,1799302,104379
06-Jan-20,1821199,105113
06-Feb-20,1841990,106195
06-Mar-20,1861977,107184
06-Apr-20,1883593,108192
06-May-20,1912302,109304
06-Jun-20,1934818,110032
06-Jul-20,1953434,110422
06-Aug-20,1971641,111144
06-Sep-20,1990446,112174
06-Oct-20,2013298,113103
06-Nov-20,2036500,113980
06-Dec-20,2061993,114759
13-Jun-20,2087327,115451
14-Jun-20,2106457,115768
15-Jun-20,2126574,116216
16-Jun-20,2151459,116985
17-Jun-20,2177114,117746
18-Jun-20,2205173,118473
19-Jun-20,2236009,119171
20-Jun-20,2268034,119717
21-Jun-20,2294413,119974
22-Jun-20,2324879,120334
23-Jun-20,2359939,121167
24-Jun-20,2396928,121934
25-Jun-20,2438101,124400
26-Jun-20,2483629,125033
27-Jun-20,2525928,125544
28-Jun-20,2565436,125815
29-Jun-20,2604932,126162
30-Jun-20,2653321,127462
07-Jan-20,2703296,128104
07-Feb-20,2758855,128827
07-Mar-20,2816009,129418
07-Apr-20,2866015,129679
07-May-20,2910782,129941
07-Jun-20,2958098,130332
07-Jul-20,3012182,131290
07-Aug-20,3071637,132238
07-Sep-20,3131526,133079
07-Oct-20,3199753,133907
07-Nov-20,3260474,134582
07-Dec-20,3318279,134977
13-Jul-20,3379846,135402
14-Jul-20,3445448,136356
15-Jul-20,3513790,137327
16-Jul-20,3589477,138285
17-Jul-20,3660400,139186
18-Jul-20,3722851,139961
19-Jul-20,3785126,140373
20-Jul-20,3845014,140904
21-Jul-20,3910291,142031
22-Jul-20,3980030,143167
23-Jul-20,4050036,144283
24-Jul-20,4123561,145429
25-Jul-20,4190337,146313
26-Jul-20,4244554,146753
27-Jul-20,4303735,148449
28-Jul-20,4366851,149776
29-Jul-20,4433633,151172
