date,cases,deaths
01-May-21,21152285,357432
02-May-21,26853860,459390
03-May-21,28938090,522511
04-May-21,30802221,555126
05-May-21,32572383,578806
06-May-21,33323260,596551
07-May-21,33736665,605123
08-May-21,35567255,615408
09-May-21,40005266,648273
10-May-21,43925170,705543
11-May-21,46395310,753734
12-May-21,49044786,787318
13-May-21,32868084,583991
14-May-21,32909065,584723
15-May-21,32938115,585282
16-May-21,32954825,585574
17-May-21,32984032,585958
18-May-21,33011895,586825
19-May-21,33040689,587500
20-May-21,33070307,588154
21-May-21,33099318,588850
22-May-21,33117634,589329
23-May-21,33131784,589518
24-May-21,33157412,589935
25-May-21,33180250,590635
26-May-21,33203636,591601
27-May-21,33231383,592942
28-May-21,33253407,593701
29-May-21,33264967,594040
30-May-21,33272409,594171
31-May-21,33277912,594321
01-Jun-21,21408251,361396
02-Jun-21,26958807,462052
03-Jun-21,28994675,523970
04-Jun-21,30864193,556035
05-Jun-21,32620077,579638
06-Jun-21,33329413,596803
07-Jun-21,33763742,605440
08-Jun-21,35735606,616257
09-Jun-21,40082242,648788
10-Jun-21,44051125,708073
11-Jun-21,46427249,754136
12-Jun-21,49242230,788660
13-Jun-21,33431406,599328
14-Jun-21,33446525,599538
15-Jun-21,33458397,599990
16-Jun-21,33472808,600414
17-Jun-21,33484995,600702
18-Jun-21,33497695,601171
19-Jun-21,33505275,601340
20-Jun-21,33509338,601430
21-Jun-21,33525182,601718
22-Jun-21,33537943,602150
23-Jun-21,33551974,602548
24-Jun-21,33566669,602903
25-Jun-21,33581632,603361
26-Jun-21,33588423,603487
27-Jun-21,33592510,603583
28-Jun-21,33608058,603744
29-Jun-21,33623787,604123
30-Jun-21,33639764,604446
01-Jul-21,21688585,365509
02-Jul-21,27046088,463353
03-Jul-21,29034739,524646
04-Jul-21,30937283,558606
05-Jul-21,32667570,580450
06-Jul-21,33348865,597139
07-Jul-21,33793961,605762
08-Jul-21,35777721,616463
09-Jul-21,40383380,651014
10-Jul-21,44156527,710522
11-Jul-21,46449334,754268
12-Jul-21,49356227,790434
13-Jul-21,33970195,607358
14-Jul-21,34008250,607751
15-Jul-21,34044268,608089
16-Jul-21,34096492,608446
17-Jul-21,34108937,608529
18-Jul-21,34117964,608566
19-Jul-21,34177146,608797
20-Jul-21,34239257,609097
21-Jul-21,34299048,609494
22-Jul-21,34364548,609856
23-Jul-21,34447610,610299
24-Jul-21,34469200,610400
25-Jul-21,34483033,610449
26-Jul-21,34576119,610722
27-Jul-21,34682937,611206
28-Jul-21,34767898,611701
29-Jul-21,34866192,612104
30-Jul-21,34988866,612775
31-Jul-21,35018564,612919
01-Aug-21,21989362,369404
02-Aug-21,27139070,464936
03-Aug-21,29129252,525466
04-Aug-21,31017741,559608
05-Aug-21,32701236,581054
06-Aug-21,33363050,597514
07-Aug-21,33843194,606128
08-Aug-21,35813789,616594
09-Aug-21,40567569,653216
10-Aug-21,44269453,712967
11-Aug-21,46575795,755489
12-Aug-21,49505272,792313
13-Aug-21,36636249,620809
14-Aug-21,36686066,621051
15-Aug-21,36729884,621228
16-Aug-21,36989377,622244
17-Aug-21,37133674,623237
18-Aug-21,37298285,624365
19-Aug-21,37458037,626099
20-Aug-21,37657643,627631
21-Aug-21,37737034,628100
22-Aug-21,37777607,628285
23-Aug-21,38043754,629644
24-Aug-21,38193951,631057
25-Aug-21,38364887,632522
26-Aug-21,38552648,634735
27-Aug-21,38748559,636509
28-Aug-21,38833818,637076
29-Aug-21,38875976,637356
30-Aug-21,39156379,639081
31-Aug-21,39316629,640519
01-Sep-21,22241281,372663
02-Sep-21,27235460,468106
03-Sep-21,29185151,527351
04-Sep-21,31099323,560554
05-Sep-21,32723564,581300
06-Sep-21,33383714,598086
07-Sep-21,33878529,606535
08-Sep-21,35992480,617314
09-Sep-21,40738140,656448
10-Sep-21,44306787,713480
11-Sep-21,46658774,757205
12-Sep-21,49628777,793608
13-Sep-21,41312998,661579
14-Sep-21,41465694,664235
15-Sep-21,41635889,666816
16-Sep-21,41790772,670234
17-Sep-21,41957710,672813
18-Sep-21,42025890,673637
19-Sep-21,42065846,673939
20-Sep-21,42274012,676191
21-Sep-21,42403987,678556
22-Sep-21,42551480,681343
23-Sep-21,42679344,684498
24-Sep-21,42819355,687247
25-Sep-21,42870947,687876
26-Sep-21,42905182,688178
27-Sep-21,43099971,690559
28-Sep-21,43213311,692878
29-Sep-21,43341823,695393
30-Sep-21,43458032,698136
01-Oct-21,22449576,374440
02-Oct-21,27330435,471360
03-Oct-21,29243346,528825
04-Oct-21,31164081,561258
05-Oct-21,32760121,581670
06-Oct-21,33399513,598546
07-Oct-21,33886287,606623
08-Oct-21,36154571,618363
09-Oct-21,40914456,658865
10-Oct-21,44329826,713961
11-Oct-21,46757836,758841
12-Oct-21,49793839,795711
13-Oct-21,44671639,719887
14-Oct-21,44760608,721929
15-Oct-21,44859168,724104
16-Oct-21,44892709,724491
17-Oct-21,44914861,724673
18-Oct-21,45036894,726545
19-Oct-21,45120577,728682
20-Oct-21,45207199,731688
21-Oct-21,45289145,733564
22-Oct-21,45376442,735699
23-Oct-21,45406266,736148
24-Oct-21,45423368,736296
25-Oct-21,45528929,737709
26-Oct-21,45616352,739445
27-Oct-21,45710896,741460
28-Oct-21,45797081,743242
29-Oct-21,45885804,745262
30-Oct-21,45915215,745586
31-Oct-21,45934098,745743
01-Nov-21,22675892,376488
02-Nov-21,27436075,475238
03-Nov-21,29305733,530349
04-Nov-21,31212058,561559
05-Nov-21,32794162,582363
06-Nov-21,33416340,599063
07-Nov-21,33891830,606653
08-Nov-21,36310148,618701
09-Nov-21,40988382,659556
10-Nov-21,44453506,715123
11-Nov-21,46822437,759563
12-Nov-21,49845184,796127
13-Nov-21,47013185,762092
14-Nov-21,47036794,762234
15-Nov-21,47185418,763425
16-Nov-21,47275904,764871
17-Nov-21,47390261,766489
18-Nov-21,47500534,769719
19-Nov-21,47620182,771721
20-Nov-21,47661246,772046
21-Nov-21,47692618,772169
22-Nov-21,47851516,773402
23-Nov-21,47944287,774880
24-Nov-21,48064179,776516
25-Nov-21,48095032,776893
26-Nov-21,48146557,777437
27-Nov-21,48171236,777629
28-Nov-21,48195186,777750
29-Nov-21,48411498,779624
30-Nov-21,48520792,781183
01-Dec-21,22905869,380894
02-Dec-21,27535702,480701
03-Dec-21,29369899,532054
04-Dec-21,31283990,562024
05-Dec-21,32829645,583211
06-Dec-21,33424619,599233
07-Dec-21,33927213,606926
08-Dec-21,36448857,619723
09-Dec-21,41027940,659854
10-Dec-21,44565082,717648
11-Dec-21,46951788,761624
12-Dec-21,49881540,796322
13-Dec-21,50084423,797611
14-Dec-21,50201282,799345
15-Dec-21,50346558,801438
16-Dec-21,50492877,802601
17-Dec-21,50664022,804697
18-Dec-21,50738685,805171
19-Dec-21,50811164,805334
20-Dec-21,51114064,806753
21-Dec-21,51303535,808841
22-Dec-21,51547227,810927
23-Dec-21,51812442,814211
24-Dec-21,51996367,815213
25-Dec-21,52054715,815312
26-Dec-21,52244429,815391
27-Dec-21,52787969,817134
28-Dec-21,53168681,819630
29-Dec-21,53657745,821731
30-Dec-21,54242800,823141
31-Dec-21,54689367,824336
01-Jan-22,54850427,824609
02-Jan-22,75285900,889525
03-Jan-22,78986396,950788
04-Jan-22,80036620,979881
05-Jan-22,81274401,992033
06-Jan-22,84363873,1004163
