date,cases,deaths,recovered
02-May-21,5701575,101958,5599617
03-May-21,2084230,63121,2021109
04-May-21,1864131,32615,1831516
05-May-21,1770162,23680,1746482
06-May-21,750877,17745,733132
07-May-21,413405,8572,404833
08-May-21,1830590,10285,1820305
09-May-21,4438011,32865,4405146
10-May-21,3919904,57270,3862634
11-May-21,2470140,48191,2421949
12-May-21,2649476,33584,2615892
15-May-21,29050,559,28491
16-May-21,16710,292,16418
17-May-21,29207,384,28823
18-May-21,27863,867,26996
19-May-21,28794,675,28119
20-May-21,29618,654,28964
21-May-21,29011,696,28315
22-May-21,18316,479,17837
23-May-21,14150,189,13961
24-May-21,25628,417,25211
25-May-21,22838,700,22138
26-May-21,23386,966,22420
27-May-21,27747,1341,26406
28-May-21,22024,759,21265
29-May-21,11560,339,11221
30-May-21,7442,131,7311
31-May-21,5503,150,5353
03-Jun-21,2035868,61918,1973950
04-Jun-21,1869518,32065,1837453
05-Jun-21,1755884,23603,1732281
06-Jun-21,709336,17165,692171
07-Jun-21,434329,8637,425692
08-Jun-21,1971864,10817,1961047
09-Jun-21,4346636,32531,4314105
10-Jun-21,3968883,59285,3909598
11-Jun-21,2376124,46063,2330061
12-Jun-21,2814981,34524,2780457
15-Jun-21,11872,452,11420
16-Jun-21,14411,424,13987
17-Jun-21,12187,288,11899
18-Jun-21,12700,469,12231
19-Jun-21,7580,169,7411
20-Jun-21,4063,90,3973
21-Jun-21,15844,288,15556
22-Jun-21,12761,432,12329
23-Jun-21,14031,398,13633
24-Jun-21,14695,355,14340
25-Jun-21,14963,458,14505
26-Jun-21,6791,126,6665
27-Jun-21,4087,96,3991
28-Jun-21,15548,161,15387
29-Jun-21,15729,379,15350
30-Jun-21,15977,323,15654
03-Jul-21,1988651,61293,1927358
04-Jul-21,1902544,33960,1868584
05-Jul-21,1730287,21844,1708443
06-Jul-21,681295,16689,664606
07-Jul-21,445096,8623,436473
08-Jul-21,1983760,10701,1973059
09-Jul-21,4605659,34551,4571108
10-Jul-21,3773147,59508,3713639
11-Jul-21,2292807,43746,2249061
12-Jul-21,2906893,36166,2870727
15-Jul-21,36018,338,35680
16-Jul-21,52224,357,51867
17-Jul-21,12445,83,12362
18-Jul-21,9027,37,8990
19-Jul-21,59182,231,58951
20-Jul-21,62111,300,61811
21-Jul-21,59791,397,59394
22-Jul-21,65500,362,65138
23-Jul-21,83062,443,82619
24-Jul-21,21590,101,21489
25-Jul-21,13833,49,13784
26-Jul-21,93086,273,92813
27-Jul-21,106818,484,106334
28-Jul-21,84961,495,84466
29-Jul-21,98294,403,97891
30-Jul-21,122674,671,122003
31-Jul-21,29698,144,29554
03-Aug-21,1990182,60530,1929652
04-Aug-21,1888489,34142,1854347
05-Aug-21,1683495,21446,1662049
06-Aug-21,661814,16460,645354
07-Aug-21,480144,8614,471530
08-Aug-21,1970595,10466,1960129
09-Aug-21,4753780,36622,4717158
10-Aug-21,3701884,59751,3642133
11-Aug-21,2306342,42522,2263820
12-Aug-21,2929477,36824,2892653
15-Aug-21,43818,177,43641
16-Aug-21,259493,1016,258477
17-Aug-21,144297,993,143304
18-Aug-21,164611,1128,163483
19-Aug-21,159752,1734,158018
20-Aug-21,199606,1532,198074
21-Aug-21,79391,469,78922
22-Aug-21,40573,185,40388
23-Aug-21,266147,1359,264788
24-Aug-21,150197,1413,148784
25-Aug-21,170936,1465,169471
26-Aug-21,187761,2213,185548
27-Aug-21,195911,1774,194137
28-Aug-21,85259,567,84692
29-Aug-21,42158,280,41878
30-Aug-21,280403,1725,278678
31-Aug-21,160250,1438,158812
03-Sep-21,1949691,59245,1890446
04-Sep-21,1914172,33203,1880969
05-Sep-21,1624241,20746,1603495
06-Sep-21,660150,16786,643364
07-Sep-21,494815,8449,486366
08-Sep-21,2113951,10779,2103172
09-Sep-21,4745660,39134,4706526
10-Sep-21,3568647,57032,3511615
11-Sep-21,2351987,43725,2308262
12-Sep-21,2970003,36403,2933600
15-Sep-21,170195,2581,167614
16-Sep-21,154883,3418,151465
17-Sep-21,166938,2579,164359
18-Sep-21,68180,824,67356
19-Sep-21,39956,302,39654
20-Sep-21,208166,2252,205914
21-Sep-21,129975,2365,127610
22-Sep-21,147493,2787,144706
23-Sep-21,127864,3155,124709
24-Sep-21,140011,2749,137262
25-Sep-21,51592,629,50963
26-Sep-21,34235,302,33933
27-Sep-21,194789,2381,192408
28-Sep-21,113340,2319,111021
29-Sep-21,128512,2515,125997
30-Sep-21,116209,2743,113466
03-Oct-21,1912911,57465,1855446
04-Oct-21,1920735,32433,1888302
05-Oct-21,1596040,20412,1575628
06-Oct-21,639392,16876,622516
07-Oct-21,486774,8077,478697
08-Oct-21,2268284,11740,2256544
09-Oct-21,4759885,40502,4719383
10-Oct-21,3415370,55096,3360274
11-Oct-21,2428010,44880,2383130
12-Oct-21,3036003,36870,2999133
15-Oct-21,98560,2175,96385
16-Oct-21,33541,387,33154
17-Oct-21,22152,182,21970
18-Oct-21,122033,1872,120161
19-Oct-21,83683,2137,81546
20-Oct-21,86622,3006,83616
21-Oct-21,81946,1876,80070
22-Oct-21,87297,2135,85162
23-Oct-21,29824,449,29375
24-Oct-21,17102,148,16954
25-Oct-21,105561,1413,104148
26-Oct-21,87423,1736,85687
27-Oct-21,94544,2015,92529
28-Oct-21,86185,1782,84403
